Change Physical Footprint: Designator=Accmtr Old Footprint=LIS3DHTR New Footprint=LIS3DHTR
Change Physical Footprint: Designator=C1 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C2 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C3 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C4 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C5 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C6 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C7 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C8 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C9 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C10 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C11 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C12 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=C13 Old Footprint=CAP_1206 New Footprint=CAP_1206
Change Physical Footprint: Designator=Gyro1 Old Footprint=H3LIS100DLTR New Footprint=H3LIS100DLTR
Change Physical Footprint: Designator=Heatbeat1 Old Footprint=14-LEAD-OESIP New Footprint=14-LEAD-OESIP
Change Physical Footprint: Designator=IC1 Old Footprint=SOP65P490X110-8N New Footprint=SOP65P490X110-8N
Change Physical Footprint: Designator=IC2 Old Footprint=SOT95P280X145-5N New Footprint=SOT95P280X145-5N
Change Physical Footprint: Designator=P1 Old Footprint=61301021121 New Footprint=61301021121
Change Physical Footprint: Designator=R1 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R2 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R3 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R4 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R5 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R6 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R7 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R8 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R9 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=R10 Old Footprint=RES_1206 New Footprint=RES_1206
Change Physical Footprint: Designator=U1 Old Footprint=MCHP-SOIC-SN8_L New Footprint=MCHP-SOIC-SN8_L
Change Physical Footprint: Designator=Y1 Old Footprint=FP-ABS07-120-MFG New Footprint=FP-ABS07-120-MFG
